# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669681418, 7, 511, 598, 184, 0, 0.94%, 16, 0, 18, 3560.48
1669681428, 7, 514, 598, 183, 0, 0.94%, 16, 0, 18, 3535.08
1669681439, 7, 516, 598, 182, 0, 0.94%, 16, 0, 18, 3523.38
1669681449, 7, 528, 598, 181, 0, 0.94%, 16, 0, 18, 3511.54
1669681464, 7, 531, 598, 180, 0, 0.94%, 16, 0, 18, 3482.08
1669681479, 7, 531, 599, 181, 0, 0.94%, 16, 0, 18, 3519.51
1669681484, 7, 532, 599, 180, 0, 0.94%, 16, 0, 18, 3446.58
1669681504, 7, 533, 599, 179, 0, 0.94%, 16, 0, 18, 3450.18
1669681515, 7, 533, 600, 180, 0, 0.94%, 16, 0, 18, 3511.55
1669681520, 7, 536, 600, 179, 0, 0.94%, 16, 0, 18, 3471.12
1669681540, 7, 536, 601, 180, 0, 0.94%, 16, 0, 18, 3458.24
1669681545, 7, 537, 601, 179, 0, 0.94%, 16, 0, 18, 3516.89
1669681561, 7, 542, 601, 178, 0, 0.94%, 16, 0, 18, 3546.27
1669681571, 7, 548, 601, 177, 0, 0.94%, 16, 0, 18, 3551.22
1669681581, 7, 551, 601, 176, 0, 0.94%, 16, 0, 18, 3542.71
1669681586, 7, 553, 601, 175, 0, 0.94%, 16, 0, 18, 3544.84
1669681601, 7, 554, 601, 174, 0, 0.94%, 16, 0, 18, 3531.42
1669681612, 7, 559, 601, 173, 0, 0.94%, 16, 0, 18, 3352.50
1669681627, 7, 559, 604, 176, 0, 0.94%, 16, 0, 18, 3391.81
1669681632, 7, 559, 605, 177, 0, 0.94%, 16, 0, 18, 3459.90
1669681637, 7, 560, 605, 176, 0, 0.94%, 16, 0, 18, 3512.55
1669681642, 7, 560, 607, 178, 0, 0.94%, 16, 0, 18, 3575.38
1669681647, 7, 560, 609, 180, 0, 0.94%, 16, 0, 18, 3575.14
1669681652, 7, 562, 609, 179, 0, 0.94%, 16, 0, 18, 3550.67
1669681663, 7, 563, 609, 178, 0, 0.94%, 16, 0, 18, 3527.48
1669681678, 7, 564, 609, 177, 0, 0.94%, 16, 0, 18, 3473.06
1669681693, 7, 567, 609, 176, 0, 0.94%, 16, 0, 18, 3446.99
1669681719, 7, 569, 609, 175, 0, 0.94%, 16, 0, 18, 3489.35
1669681729, 7, 569, 610, 176, 0, 0.94%, 16, 0, 18, 3564.24
1669681734, 7, 609, 610, 175, 1, 0.94%, 16, 0, 18, 3476.73
1669681755, 7, 609, 611, 176, 1, 0.94%, 16, 0, 18, 3495.57
1669681760, 7, 610, 611, 175, 0, 0.94%, 16, 0, 18, 3463.25
1669681780, 7, 610, 612, 176, 0, 0.94%, 16, 0, 19, 3481.80
1669681785, 8, 75, 612, 174, 0, 0.94%, 16, 0, 19, 3556.17
1669681790, 8, 223, 612, 171, 0, 0.94%, 16, 0, 19, 3650.43
1669681796, 8, 255, 612, 168, 0, 0.94%, 16, 0, 19, 3659.12
1669681801, 8, 276, 612, 166, 0, 0.94%, 16, 0, 19, 3662.49
1669681806, 8, 324, 612, 164, 0, 0.94%, 16, 0, 19, 3651.90
1669681811, 8, 365, 612, 163, 0, 0.94%, 16, 0, 19, 3622.06
1669681816, 8, 381, 612, 162, 0, 0.94%, 16, 0, 19, 3602.58
1669681821, 8, 384, 612, 160, 0, 0.94%, 16, 0, 19, 3588.42
1669681826, 8, 394, 612, 159, 0, 0.94%, 16, 0, 19, 3579.29
1669681831, 8, 394, 613, 160, 0, 0.94%, 16, 0, 19, 3568.73
1669681836, 8, 402, 613, 158, 0, 0.94%, 16, 0, 19, 3538.10
1669681841, 8, 403, 613, 157, 0, 0.94%, 16, 0, 19, 3518.86
1669681851, 8, 411, 613, 156, 0, 0.94%, 16, 0, 19, 3592.20
1669681856, 8, 417, 613, 154, 0, 0.94%, 16, 0, 19, 3643.19
1669681861, 8, 444, 614, 153, 0, 0.94%, 16, 0, 19, 3649.97
1669681867, 8, 448, 615, 154, 0, 0.94%, 16, 0, 19, 3616.89
1669681872, 8, 448, 617, 156, 0, 0.94%, 16, 0, 19, 3607.19
1669681877, 8, 455, 617, 155, 0, 0.94%, 16, 0, 19, 3672.85
1669681882, 8, 460, 617, 154, 0, 0.94%, 16, 0, 19, 3686.45
1669681887, 8, 468, 618, 154, 0, 0.94%, 16, 0, 19, 3623.90
1669681913, 8, 482, 618, 153, 0, 0.94%, 16, 0, 19, 3636.40
1669681943, 8, 486, 618, 152, 0, 0.94%, 16, 0, 19, 3393.76
1669681958, 8, 487, 618, 151, 0, 0.94%, 16, 0, 19, 3463.53
1669681968, 8, 487, 620, 153, 0, 0.94%, 16, 0, 19, 3533.17
1669681973, 8, 491, 620, 152, 0, 0.94%, 16, 0, 19, 3538.27
